ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment
5,Sydney,Apia International,1/12/17,ATP250,Outdoor,Hard,Quarterfinals,3,Evans D.,Thiem D.,67,8,736,3415,3,6,6,4,6,1,,,,,2,1,Completed
5,Sydney,Apia International,1/13/17,ATP250,Outdoor,Hard,Semifinals,3,Muller G.,Troicki V.,34,29,1255,1385,6,3,7,6,,,,,,,2,0,Completed
5,Sydney,Apia International,1/13/17,ATP250,Outdoor,Hard,Semifinals,3,Evans D.,Kuznetsov An.,67,48,736,935,6,2,3,6,6,3,,,,,2,1,Completed
5,Sydney,Apia International,1/14/17,ATP250,Outdoor,Hard,The Final,3,Muller G.,Evans D.,34,67,1255,736,7,6,6,2,,,,,,,2,0,Completed
6,Melbourne,Australian Open,1/16/17,Grand Slam,Outdoor,Hard,1st Round,5,De Minaur A.,Melzer G.,301,87,164,648,5,7,6,3,2,6,7,6,6,1,3,2,Completed
6,Melbourne,Australian Open,1/16/17,Grand Slam,Outdoor,Hard,1st Round,5,Chardy J.,Almagro N.,72,42,705,1040,4,0,,,,,,,,,0,0,Retired
6,Melbourne,Australian Open,1/16/17,Grand Slam,Outdoor,Hard,1st Round,5,Troicki V.,Dzumhur D.,35,78,1225,694,6,4,6,4,2,6,2,6,6,3,3,2,Completed
6,Melbourne,Australian Open,1/16/17,Grand Slam,Outdoor,Hard,1st Round,5,Estrella Burgos V.,Bedene A.,103,109,586,547,7,6,7,5,0,6,6,3,,,3,1,Completed
6,Melbourne,Australian Open,1/16/17,Grand Slam,Outdoor,Hard,1st Round,5,Harrison R.,Mahut N.,82,41,664,1085,6,3,6,4,6,2,,,,,3,0,Completed
6,Melbourne,Australian Open,1/16/17,Grand Slam,Outdoor,Hard,1st Round,5,Nishikori K.,Kuznetsov An.,5,45,5010,1015,5,7,6,1,6,4,6,7,6,2,3,2,Completed
6,Melbourne,Australian Open,1/16/17,Grand Slam,Outdoor,Hard,1st Round,5,Zverev M.,Garcia-Lopez G.,50,74,894,700,6,3,7,6,6,4,,,,,3,0,Completed
6,Melbourne,Australian Open,1/16/17,Grand Slam,Outdoor,Hard,1st Round,5,Querrey S.,Halys Q.,32,155,1355,379,6,7,7,6,6,3,6,4,,,3,1,Completed
6,Melbourne,Australian Open,1/16/17,Grand Slam,Outdoor,Hard,1st Round,5,Berdych T.,Vanni L.,10,157,3060,373,6,1,,,,,,,,,1,0,Retired
6,Melbourne,Australian Open,1/16/17,Grand Slam,Outdoor,Hard,1st Round,5,Tomic B.,Bellucci T.,27,62,1420,771,6,2,6,1,6,4,,,,,3,0,Completed
